"ID","category","country","description","price","rating","region","title","varietal","vintage"
"140","White","Austria","Yeast, wet earth and supremely aromatic pear notes make for an intriguing nose. On the palate it is lifted, fruity, fresh and almost passion-fruit-like juiciness that make this irresistible. The body is concentrated and fluid and for now showcases its brilliant, refreshing and exciting fruit, but underneath is a core of salty richness that makes this so very moreish. Fluid, salty, zesty, slender but rounded.","50",95,"Kremstal","Malat 2017 Ried Höhlgraben Alte Reben Grüner Veltliner (Kremstal)","Grüner Veltliner","2017"
"141","Red","US","This is a phenomenal start for the small-batch side project by Stephen Searle, whose main job is running Jaffurs Winery. Intense aromas of Bing cherry jelly, crushed rocks and dried sage show on the nose, while the palate combines wild berry and minty flavors with a strong chalky grip, proving both luxurious and refreshing.","46",95,"California","Leitmotif 2016 Duvarita Vineyard Pinot Noir (Santa Barbara County)","Pinot Noir","2016"
"142","White","Austria","Something savory, something aromatic dances on the nose. It is reminiscent of green bergamot peel. The palate comes in with wonderful concentration and precise slenderness, yet is brimming with both tart and ripe citrus notes that range from Mandarin orange to zesty lime. This echoes long and is really lip-smacking.","50",95,"Kamptal","Hiedler 2017 Ried Heiligenstein Riesling (Kamptal)","Riesling","2017"
"143","White","Austria","Amid the lively and bright lemon notes on the nose, a riper, more aromatic touch of juicy Mandarin and blood orange sets an exotic accent. The palate comes in with a lovely, light, easy juiciness and a wonderful harmony of ripe freshness and expressive, juicy fruit. The zesty concentration is made manifest only on the finish.","32",95,"Kamptal","Eichinger 2017 Ried Gaisberg Riesling (Kamptal)","Riesling","2017"
"144","Dessert","Canada","Thick, concentrated flavors of apricot marmalade, papaya and tangerine dive deep down into the core. This fruit-driven flavor riot is amply annotated by a lush seam of caramel, and the flavors go on and on. One half size bottle will happily serve 4-to-6 sweet tooths.","60",95,"Lincoln Lakeshore","Cave Spring 2017 Icewine Riesling (Lincoln Lakeshore)","Riesling","2017"
"145","Red","Italy","Aromas evoking fruitcake, red-plum preserve, exotic spice and French oak take center stage. The full-bodied, generous palate also boasts finesse and focus, delivering cherry marinated in spirits, prune, crushed alpine herb, ground pepper and clove. Fine-grained, velvety tannins provide the backbone while fresh acidity lifts the rich flavors. Drink 2021–2031.","250",95,"Veneto","Allegrini 2011 Fieramonte Riserva  (Amarone della Valpolicella Classico)","Red Blend","2011"
"146","Red","US","Great ripeness comes with great balance in this fruity, expressive and firm-textured wine. It is full in body but not flabby due to sinewy tannins and persistent acidity. Aromas and flavors run from cinnamon to black cherry to rhubarb, as hints of nutmeg and vanilla show a deft touch of oak. Best from 2022.","62",95,"California","Williams Selyem 2016 Weir Vineyard Pinot Noir (Yorkville Highlands)","Pinot Noir","2016"
"147","White","Austria","Very ripe and supremely juicy Mirabelle plum fruit appears promisingly on the nose. The palate obliges with rich, rounded and generous Mirabelle juiciness. There is freshness to counter this with a faint line of grapefruit zestiness. But Mirabelle plays front and center. The finish is streamlined, lip-smacking and dry. Drink now–2030.","49",95,"Kamptal","Weszeli 2015 Ried Steinmassl Riesling (Kamptal)","Riesling","2015"
"148","Red","South Africa","There's an herbal edge right upfront on the nose of this wine, with some earthy foliage, raw cocoa nib and fresh-tilled dirt aromas that are amply supported by a fruity core of red cherry flesh, plum, wild strawberry and raspberry. The bright palate offers beautiful minerality, as pristine, pure red-fruit flavors are coupled with a saline burst on the midpalate and through the close. Fine tannins lend a subtle structure. It's well balanced, focused and precise, a gorgeous wine that is hard to resist now and should evolve well through 2028.","50",95,NULL,"Storm 2015 Vrede Pinot Noir","Pinot Noir","2015"
"150","White","Austria","A hint of dried pear and dried lime zest plays before juicier lime speaks. The palate has a similar tension between ripe, almost dried fruit richness, while zestiness tones it all down into taut slenderness. This is exciting, textured, juicy and totally moreish. There is something concentrated and pervasive that hits several pleasure buttons at once. Drink now–2035.","43",95,"Kamptal","Leindl 2017 Ried Heiligenstein Riesling (Kamptal)","Riesling","2017"
"151","White","Austria","A lovely green apple freshness streams from the glass before a fennel and yeast savoriness spreads out. The slender palate then regales us with utter lemony concentration that highlights pepper, pear, apple, sage and wet stone. Zestiness shimmers and is wonderfully pervasive, keeping this taut and wonderfully vivid.","37",95,"Wachau","Josef Jamek 2017 Ried Liebenberg Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2017"
"152","White","Austria","Salt, pepper and lemon notes own the nose offer the promise of savoriness. The palate then wheels out all the salty concentration in full force. This tingles like lemon zest and has the texture of citrus pith. Concentration and savoriness are written all over it. This is compact, deeply savory and totally lip-smacking.","29",95,"Kamptal","Eichinger 2017 Ried Gaisberg Grüner Veltliner (Kamptal)","Grüner Veltliner","2017"
"153","White","Austria","Highly aromatic notes of glowingly ripe, juicy pear also have an edge of bergamot. This aromatic sophistication carries over onto the palate where pithy, zesty citrus provides lots of concentration. The result is totally mouthwatering in a salty fashion that is utterly moreish and very refreshing. This is racy, taut and packed with flavor.","46",95,"Wachau","Domäne Wachau 2017 Ried Kellerberg Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2017"
"154","Red","France","Perfumed notes of violet and wild thyme introduce the penetrating black-cherry and plum flavors of this wine. It's bristling and vibrant, darkened by shades of bramble and garrigue. Concentrated and held upright by fine, firm tannins, it's already lovely but should improve through 2035 and hold further.","112",95,"Rhône Valley","Delas Frères 2016 Seigneur De Maugiron  (Côte Rôtie)","Rhône-style Red Blend","2016"
"155","White","Austria","The flinty whiff of reduction still plays promisingly on the nose. The palate then fans out into earthy pepperiness, pear-fruited creaminess and spiky lemon freshness. Both texture and freshness characterize the midpalate, while sage, pepper and dried sage shimmer around the edges. Lovely, unusual and very elegant.","75",95,"Kamptal","Bründlmayer 2017 Ried Spiegel Vincent Grüner Veltliner (Kamptal)","Grüner Veltliner","2017"
"156","White","US","This has gorgeous aromas of ginger and crushed rock, a stony mineral component that's irresistible and memorable. Balanced in richness, it sings in baked pear and honeysuckle, finding a touch of restraint within a medium-bodied frame of welcome decadence.","58",95,"California","Black Kite 2016 Gap's Crown Chardonnay (Sonoma Coast)","Chardonnay","2016"
"157","Red","US","From a block planted in 1987, this bottling offers an extremely fresh, bright and snappy black raspberry aroma, with deeper tones of tar, char and coffee in the background. The palate is all about grippy tannins, roasted berries and white pepper spice. Drink now–2035.","100",95,"California","Bien Nacido Estate 2015 The XO Reserve Syrah (Santa Maria Valley)","Syrah","2015"
"158","Red","US","This blends 71% Cabernet Sauvignon with 13% Cabernet Franc, 11% Petit Verdot and 5% Merlot. Together, they present a reduced grip of tar, black cherry, blackberry and substantial power within a graceful frame of supportive acidity and integrated oak. Let this one lie; enjoy best 2025–2030.","102",95,"California","Alpha Omega 2015 Proprietary Red (Napa Valley)","Red Blend","2015"
"160","White","Austria","A pure note of ripe Mirabelle plum mixes with grapefruit zest on the nose. The palate repeats this attractive proposition with even more clarity and poise. That tingling, spicy zestiness pervades the entire palate and shimmers aromatically. This is concentrated and brimming with fruit. Drink until 2035.","75",95,"Traisental","Markus Huber 2017 Ried Berg Riesling (Traisental)","Riesling","2017"
"161","Red","US","The producer's new Nomad collection includes bottlings from every marquee Beckstoffer Cabernet Sauvignon vineyard in the Napa Valley. This is an herbal, dusty, old-world offering, deep in grippy tannins and the youthful vigor of firm acidity. Pencil shavings, red currant and a streak of cocoa play on the palate with bright abandon. Enjoy best from 2026–2030.","175",95,"California","Stewart 2016 Nomad Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2016"
"162","White","Austria","Funky earthiness encounters the nose first. After that, supremely ripe pear fruit takes over. The palate adds cushioned, creamy yeastiness and a whole load of lemon-scented, salty but soft yeastiness. This is a wine about texture and depth, about earth and deep savoriness. This is fluid and rounded without an ounce of fat, simply flowing in its own, rounded creaminess. The finish is fresh and creamy.","40",95,"Kamptal","Loimer 2017 Ried Loiserberg Grüner Veltliner (Kamptal)","Grüner Veltliner","2017"
"163","Sparkling","US","A blend of 72% Pinot Noir and 28% Chardonnay, this is a stunning vintage of the perennially impressive sparkler. Nutty and earthy, it sings in strawberry, wet stone and rose petal. The palate offers a lively mousse and persistent acidity, making it vibrant and easy to enjoy.","45",95,"California","Iron Horse 2014 Wedding Cuvée Estate Bottled Sparkling (Green Valley)","Sparkling Blend","2014"
"164","White","Austria","A touch of wet earth grounds the beautifully juicy and aromatic pear fruit on the nose. The palate takes both earthiness and pear fruit and twirls them around in a dizzying lemony dazzle. The deliciously tasty zinginess is alluring, invigorating and refreshing. A whole, refreshing mouthful of pure freshness and joy with a long, dry finish. Drink now–2030.","51",95,"Niederösterreich","Ingrid Groiss 2017 Auf der Henne Reserve Riesling (Niederösterreich)","Riesling","2017"
"166","Red","Austria","Smoke, tar and a very pure note of wild blueberry dance promisingly on the nose. The dense and powerful palate adds a creamy vanilla note and rolls smoothly over the tongue with concentrated mellowness. This still needs time to relax. Dense, ripe tannins need to loosen, fruit needs to unfold. A very glossy, international style, but its power is tempered by elegance. Released after five years of barrel aging, this can easily take another five in the bottle. Drink 2023–2030.","35",95,"Burgenland","Arachon 2013 Alte Reben Reserve Red (Burgenland)","Austrian Red Blend","2013"
"167","White","Austria","Aromatic notes of ripe pear flesh and peel have a yeasty, sonorous edge on the nose. The palate joins both fruit and yeast in a lovely, textured core that reveals salty, almost bitter miso and echoes of deep savoriness. Pithy citrus lends even more mouthfeel. A wonderfully concentrated, complex wine that deserves some bottle age. Drink 2020–2035.","66",95,"Wachau","Alzinger 2017 Ried Steinertal Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2017"
"168","White","Austria","Notes of ripe Russet pear on the nose have a pleasantly earthy edge. On the palate, the ripeness and juiciness of the pear fruit is enforced, while a high-toned, zesty lemon freshness underlines savory, salty and herbal notes of yeast. This is concentrated, mouthwatering and totally moreish, especially on that long, appetizing finish.","56",95,"Wachau","Alzinger 2017 Loibenberg Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2017"
"169","White","US","This lovely vineyard-designate is expertly put together, showing honeyed concentration and evolved flavors of baked apple and apricot. Floral in honeysuckle and apple blossom, it has substantive layers of bold texture and body, with a steely undertow of fresh acidity.","125",95,"California","Alpha Omega 2015 Toyon Vineyard Chardonnay (Los Carneros)","Chardonnay","2015"
"170","White","Austria","Very ripe notes of yellow Mirabelle plum are suffused with lime zest on the nose. That supercharged full-fruitedness carries over onto the slender body. It is lemony brightness that gives definition here, barely framing all of that inviting, exuberant fruit. Concentrated, juicy and dry with lots of mileage yet. Drink now–2035.","49",95,"Kamptal","Weszeli 2015 Ried Seeberg Riesling (Kamptal)","Riesling","2015"
"171","White","Austria","A beautifully lithe apple and pear freshness rises from the glass. With a little air, a very subtle note of hazelnut appears. The palate is rounded and full and has a totally juicy richness of juicy pear with a wonderful bitter almond edge, despite its wonderfully slender body. This is lovely now with the exuberance of youth but really needs time to unfold and show its lovely texture. Drink 2020–2030.","80",95,"Burgenland","Tinhof 2017 Golden Erd Weissburgunder (Burgenland)","Weissburgunder","2017"
"172","White","Austria","Ripe, juicy Conference pear, clearest Mirabelle plum and ripe lemon meet on the fragrant nose. These flavors mingle on the concentrated palate with wonderful juiciness, helped along by the bright lemon freshness. Zesty texture adds precision. The finish is dry and mouthwatering. This is utterly lemony, dry and moreish. Drink 2020–2035.","45",95,"Kremstal","Stadt Krems 2017 Ried Grillenparz Reserve Riesling (Kremstal)","Riesling","2017"
"173","White","Austria","Wet stone, pear peel and zesty lemon signal clarity and freshness on the nose. The palate stays slender and concentrated, sinuous in a ripe lemon note. There is a flowing current of lemon refreshment on the palate, with a harmonious balance and a clean finish. Lovely now, it is sure to blossom with bottle age. Drink now–2035.","68",95,"Kamptal","Loimer 2017 Ried Seeberg Riesling (Kamptal)","Riesling","2017"
"174","Red","US","This single-block expression is extremely earthy on the nose with aromas of loamy soil, wet gravel, sumac, cinnamon and wild berries. It's light in the glass, with rounded flavors of raspberry, cherry and underripe strawberry as well as a clay-like minerality. A chalky mouthfeel leads into a clean and taut finish.","115",95,"California","Sanford 2014 Founders' Vines Pinot Noir (Sta. Rita Hills)","Pinot Noir","2014"
"175","White","Austria","Lemon balm and nettle notes gently insinuate their savoriness into a fruity mix of ripe lemon and pear. This game of savory, almost salty fruitiness continues on the fluid body, which is tense and wonderfully taut with juicy freshness. Lemon and pear for now take center stage, but salty yeast informs that vivid zestiness at the core.","62",95,"Kremstal","Nigl 2017 Herzstück vom Kirchenberg Grüner Veltliner (Kremstal)","Grüner Veltliner","2017"
"176","White","Austria","Notes of salty miso, celery, lemon and green pear unite into an intriguing nose. On the palate, it is ripe, juicy pear that takes the lead, but that salty zestiness, that edge of peppery savoriness is always present, adding freshness and allure to this fluid, slender, concentrated and zesty wine. The finish echoes with citrus and white pepper. It will take some time to come into its powerful own. Drink 2020–2030.","46",95,"Wachau","Domäne Wachau 2017 Ried Achleiten Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2017"
"177","Red","US","This is sourced from the oldest vineyard on the estate, a high-elevation site now reaching optimum maturity. The flavors are a deep, densely textured mix of black fruits, cocoa powder and baking spices. It's a stunning bottle, delicious now and a choice cellar candidate through 2030.","130",95,"Oregon","Domaine Serene 2015 Mark Bradford Vineyard Pinot Noir (Dundee Hills)","Pinot Noir","2015"
"178","Red","Italy","Made entirely with Sangiovese, this offers enticing aromas of exotic spice, ripe black-skinned fruit, tilled soil, French oak and a whiff of leather. The full-bodied palate boasts structure, elegance and tension, delivering juicy wild cherry, raspberry, star anise and espresso set against firm fine-grained tannins. Drink 2022–2030.","95",95,"Tuscany","Boscarelli 2015 Costa Grande  (Vino Nobile di Montepulciano)","Sangiovese","2015"
"179","White","Austria","Green apple and a little salty yeastiness play appetizingly on the nose. The palate then offers beautifully pure yellow plum fruit that is pervaded by lovely, bright and tart lemony freshness. A wonderfully generous but toned Riesling with a dry, almost salty finish.","60",95,"Wagram","Bernhard Ott 2017 Ried Kirchthal Riesling (Wagram)","Riesling","2017"
"180","Red","France","Crisp, sun-kissed cherry and wild-strawberry notes introduce this floral, perfumed wine. Made from predominantly old vines, it's intensely concentrated and forward in fruit yet shaded by hints of violet, lavender and bramble. This full-bodied, unctuous wine with fine, gripping tannins should improve through 2030 and hold further.","120",95,"Rhône Valley","Alain Jaume et Fils 2016 Domaine Grand Veneur Vieilles Vignes Red (Châteauneuf-du-Pape)","Rhône-style Red Blend","2016"
"181","White","Austria","You sniff several things at once. A touch of flinty reduction, the tropical allure of passion fruit and the juicy promise of ripe Mandarin orange. The palate comes in with enough zestiness to be very refreshing, yet juicy. There is as much lemon flavor on the palate as there is riper citrus, but it is the lemon that provides zestiness, bounce, freshness and focus.","27",96,"Kamptal","Schloss Gobelsburg 2017 Ried Gaisberg Riesling (Kamptal)","Riesling","2017"
"182","Red","Austria","Blueberry, pepper, cinnamon and a seductive, gamy lift promise pleasure and unusual pervasiveness. The palate obliges with an incisive but plummy palate that brims with exuberant sprays of white pepper. An underlying coolness provides calm and serene freshness. The firm tannins structure is very fine and needs to mellow. What elegance, what spice, what slender concentration to look forward to. Individualistic but completely convincing. Drink until 2030.","51",96,"Burgenland","Uwe Schiefer 2014 Szapary Blaufränkisch (Burgenland)","Blaufränkisch","2014"
"183","White","Austria","Crushed sage, yarrow and mossy earthiness entice on the nose. On the palate, rich yeasty texture and fine, high-toned citrus freshness frame and embrace all of this savory charm. This is highly concentrated, tingling with pepper and sage, brimming with pear fruit and lemon freshness. Every molecule of fluid is crammed with sheer flavor, yet there is nothing fat about these wines.","30",96,"Kamptal","Schloss Gobelsburg 2016 Ried Renner Grüner Veltliner (Kamptal)","Grüner Veltliner","2016"
"184","Red","Austria","The merest hint of mocha accompanies the crushed fruit of the forest aromas on the appetizing nose. Ripe blueberry notes expand on the palate, which is dense with fruit and firm tannins that leave the mouth a little dry. This is sleek but muscular, bold but elegant. It also needs time to mellow a little. Drink 2022–2032.","105",96,"Leithaberg","Prieler 2015 Ried Goldberg Blaufränkisch (Leithaberg)","Blaufränkisch","2015"
"185","White","Austria","Earthy, juicy ripeness of Russet pear is evoked vividly on the nose, while white pepper and ground stone shimmer in the background. The palate is juicy at first, but soon the salty, yeasty, almost cheesy core spreads its savory magic, not without adding vivid apple notes. A very complex and deeply satisfying wine. The finish belongs to zesty, clean lemon.","30",96,"Wachau","Nikolaihof 2010 Im Weingebirge Federspiel Grüner Veltliner (Wachau)","Grüner Veltliner","2010"
"186","White","Austria","The merest cloud of flinty reduction cannot suppress the supremely pure lemon note on the nose. The scent evokes big, aromatic Amalfi lemons at their peak. The palate comes in with more juiciness, more ripeness, more roundness and charms its way to your mind while swirling with lemony abandon on the palate. Joyful, fresh, zesty and very balanced. Enjoy now–2039.","39",96,"Kamptal","Eichinger 2017 Ried Heiligenstein Riesling (Kamptal)","Riesling","2017"
"187","White","Austria","A flinty hint of reduction plays above juicy Mandarin orange and red apple on the nose, while a zesty, aromatic leafiness adds complexity. The palate brims with ripe citrus zest that makes the mouth water with its feast of Mandarin and tangerine notes. What a lovely, vivid, balanced, zesty and utterly juicy core of fruit shines through. A joy right now but good to last. Drink now–2039.","38",96,"Kamptal","Schloss Gobelsburg 2016 Tradition Riesling (Kamptal)","Riesling","2016"
"188","White","Austria","Very ripe, very aromatic pear fruit on the nose has a touch of ripe lemon and an wonderfully tempering edge of grapefruit. Juiciness is evident from the start, and the palate presents a joyfully vivid blend of ripe abandon countered by lovely freshness. It is lemony zestiness that wins over on the finish. This is lip-smacking, textured and pithy.","45",96,"Kremstal","Malat 2017 Ried Steinbühel Riesling (Kremstal)","Riesling","2017"
"189","Red","US","Intense aromas of smoke, black currant and crushed purple flowers make for an impressive entry to this blend of 76% Cabernet Sauvignon, 13% Cabernet Franc and 11% Petit Verdot. The palate combines the tang of plum skin and dimpled berries with flavors of peppercorn, violet and gravelly minerality.","125",96,"California","Daou 2015 Soul of a Lion Red (Adelaida District)","Bordeaux-style Red Blend","2015"
"190","White","Austria","A floral tinge, reminiscent of honeysuckle, plays around the peach fruit that is so evident on the nose. There also is a hint of candied lemon peel. The palate then adds blood orange zest and juicy pear to the aromatic cosmos. All is grouped around a central shaft of zesty, bright, lemony freshness. The finish is tart, moreish, dry and mouthwatering. Drink until 2038.","55",96,"Kremstal","Salomon-Undhof 2017 Ried Steiner Kögl Riesling (Kremstal)","Riesling","2017"
"192","Red","Italy","Perfumed berry, tilled earth, pressed rose, new leather, cake spice and a balsamic note are just some of the aromas you'll find on this fragrant, delicious red. It's linear, structured and loaded with finesse, delivering ripe Marasca cherry, raspberry compote, licorice and tobacco. Taut refined tannins and fresh acidity provide an age-worthy framework. Drink 2022–2035.","85",96,"Tuscany","Salcheto 2015 Vecchie Viti del Salco  (Vino Nobile di Montepulciano)","Sangiovese","2015"
"193","White","Austria","Both ripe pear and golden stone fruit beckon with their sunny juiciness on the nose. The palate then presents a tight, rich core of salty, spicy yeast, miso and pepper tones. The pithy texture and the lemony brightness are ideal counterweights in this compact, concentrated and complex wine.","48",96,"Wachau","Josef Jamek 2017 Ried Achleiten Smaragd Grüner Veltliner (Wachau)","Grüner Veltliner","2017"
"194","Red","US","Always one of the most immediately delicious and powerful wines in the Daou brothers' portfolio, this blend of 42% Cabernet Sauvignon, 42% Syrah and 16% Petit Verdot shows intense black fruit, roasted coffee and charred meat on the nose. It's luxuriously soft yet firmly framed by polished tannins on the palate, where black plum, espresso and caramel flavors dominate.","100",96,"California","Daou 2015 Mayote Cabernet Sauvignon-Syrah (Adelaida District)","Cabernet Sauvignon-Syrah","2015"
"195","White","Austria","Both fresh lemon and crushed lemon leaves on the nose have an air of breezy freshness but underneath the juicy ripeness of Mandarin oranges and ripe clementines shines through. The palate has a juicy softness, despite the zestiness on the midpalate. There even are tropical hints of passion fruit. The freshness is key, but it is softly expressed on the clean, zesty, long and moreish finish. Drink now–2039.","50",96,"Wachau","Domäne Wachau 2017 Ried Achleiten Smaragd Riesling (Wachau)","Riesling","2017"
"196","Red","US","Dark raspberry, packed lilacs, crushed lavender and a hint of game make for a powerful yet elegant nose. The palate is framed by strong, silty and grippy tannins, with zippy acidity that delivers flavors of black raspberry, pepper spice and roasted boar.","50",96,"California","Center of Effort 2015 Pinot Noir (Edna Valley)","Pinot Noir","2015"
"197","Red","Austria","A dark, lifted nose reveals juicy, crushed dark berries, black cherries and a tinge of tar and licorice. The palate brims with dense, ripe, black fruit but is pervaded by a sprightly, enlivening, soaring freshness that brightens this and makes for a lovely contrast. The tannins are firm but fine, the body is elegant and fresh. Lovely now but sure to evolve. Drink until 2035.","69",96,"Leithaberg","Nittnaus Anita und Hans 2016 Ried Jungenberg Blaufränkisch (Leithaberg)","Blaufränkisch","2016"
"198","White","Austria","Wonderfully reductive notes of gunflint blend with aromatic notes of baked apple and citrus zestiness on the nose. The palate reprises these notes and adds a vivid, textured earthiness. At its core is a mouthwatering saltiness edged with pleasantly bitter pith and dusty sprays of white pepper. What concentration, what allure, what freshness, even with five years of maturity.","70",96,"Wachau","Nikolaihof 2013 Baumpresse Im Weingebirge Grüner Veltliner (Wachau)","Grüner Veltliner","2013"
"199","White","Austria","A lovely, slightly funky, smokiness on the nose comes hand in hand with baked and bruised apple notes. Crushed notes of yarrow add an herbal frisson. The palate adds a creamy but focused ripeness, well tempered by integrated freshness. It is the texture here that captivates, alongside the complex flavors. This shows that a few years of bottle age are nothing on a good, light-footed Riesling. Enjoy this library release now through 2030.","22",96,"Wachau","Nikolaihof 2011 Vom Stein Federspiel Riesling (Wachau)","Riesling","2011"
"200","Red","US","This is a stunningly beautiful wine at this price point, age-worthy and complex, it will stay with you long after it's gone. Opening in cedar, clove and cinnamon, it follows with a dusting of cocoa powder and toasted oak, before it offers a lingering thread of mineral in the form of crushed rock, violet, red and black currant. Structured as it goes, it finishes soft and silky. This is a wine for the cellar as well.","80",96,"California","Lail 2016 Blueprint Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","2016"
"201","White","Austria","A wonderfully heady note of dried hay flower precedes lemon freshness on the nose. The palate majors on this pervasive, aromatic and ripe lemon note and holds sway with juicy, alluring tartness. This is so concentrated, so lemony and so lip-smacking that you simply cannot help wanting more. Lovely now, sure to be vibrant until 2038.","42",96,"Kamptal","Bründlmayer 2017 Ried Heiligenstein Riesling (Kamptal)","Riesling","2017"
"202","Red","US","Part of the historic winery's new reserve line, this intense wine delivers a roasted pork aroma against black cherry, dried rose petals and charred wood. There is a compelling sharpness of cranberry, pomegranate and raspberry flavors on the palate, with hints of green peppercorn, moss and tea leaves.","100",96,"California","Bien Nacido Estate 2015 The Captain Reserve Pinot Noir (Santa Maria Valley)","Pinot Noir","2015"
"203","Red","Austria","Dark, aromatic cherry has a lovely floral softness about it on the nose. The palate comes in with an enlivening, dark-fruited freshness but also something gentle and smooth. The poised balance of blueberry fruit, cashmere tannins and sinuousness elevates this to total elegance. Blueberries and cinnamon own the gently grippy, long finish. Drink until 2030.","45",96,"Leithaberg","Nittnaus Anita und Hans 2016 Ried Lange Ohn Blaufränkisch (Leithaberg)","Blaufränkisch","2016"
"204","Red","Austria","A heady, floral note of violet and peony hovers above the scents of tart, bright red fruit. The palate gives a slightly darker aspect of blueberry to the brisk cranberry and red currant notes, while both white pepper and cinnamon shimmer. The body is sinuous, guided by the finest tannins and pervaded by an immensely uplifting freshness. The lovely, mouthwatering grip becomes apparent on the finish. Silky, slender and oh so seductive. Drink 2022–2035.","80",96,"Carnuntum","Muhr-Van der Niepoort 2016 Ried Spitzerberg Blaufränkisch (Carnuntum)","Blaufränkisch","2016"
"205","White","Austria","The notion of freshly cut Conference pear peel mixes with hints of zesty lemon and juicy, yellow Mirabelle plum on the nose. The palate brings that same juiciness to the fore that unites expressive fruitiness with tempering, tart and wonderful freshness. Beautifully concentrated and squeaky clean. This is a lovely interplay with a zingy, lemony, dry and long finish.","50",96,"Kremstal","Malat 2017 Ried Silberbicl Riesling (Kremstal)","Riesling","2017"
